Season,Season.1,No. of episodes,Originally aired,Originally aired.1,Originally aired.2,Viewership,Viewership.1,Viewership.2
16,2004–05,21,"November 7, 2004","May 15, 2005","Sunday 8:00 pm (Episodes 1–7, 9–16, 18, 20) Sunday 10:30 pm (Episode 8) Sunday 8:30 pm (Episodes 17, 19, 21)",10.2,23.07[187],"""Homer and Ned's Hail Mary Pass"""
17,2005–06,22,"September 11, 2005","May 21, 2006",Sunday 8:00 pm,9.55,11.66[188],"""Treehouse of Horror XVI"""
18,2006–07,22,"September 10, 2006","May 20, 2007",Sunday 8:00 pm,9.15,11.63[189],"""The Mook, the Chef, the Wife and Her Homer"""
19,2007–08,20,"September 23, 2007","May 18, 2008",Sunday 8:00 pm,8.37,11.74[190],"""Treehouse of Horror XVIII"""
20,2008–09,21,"September 28, 2008","May 17, 2009","Sunday 8:00 pm (Episodes 1–7, 9–21) Sunday 8:30 pm (Episode 8)",7.1,12.40[191],"""Treehouse of Horror XIX"""
21,2009–10,23,"September 27, 2009","May 23, 2010",Sunday 8:00 pm,7.1,14.62[192],"""Once Upon a Time in Springfield"""
22,2010–11,22,"September 26, 2010","May 22, 2011",Sunday 8:00 pm,7.09,12.55[193],"""Moms I'd Like to Forget"""
23,2011–12,22,"September 25, 2011","May 20, 2012",Sunday 8:00 pm,6.15[194],11.48[195],"""The D'oh-cial Network"""
24,2012–13,22,"September 30, 2012","May 19, 2013",Sunday 8:00 pm (Episodes 1–21) Sunday 8:30 pm (Episode 22),5.41[196],8.97[197],"""Homer Goes to Prep School"""
25,2013–14,22,"September 29, 2013","May 18, 2014","Sunday 8:00 pm (Episodes 1–11, 13–22) Sunday 7:30 pm (Episode 12)",5.02[198],12.04[199],"""Steal This Episode"""
26,2014–15,22,"September 28, 2014","May 17, 2015",Sunday 8:00 pm,5.61[200],10.62[201],"""The Man Who Came to Be Dinner"""
27,2015–16,22,"September 27, 2015","May 22, 2016",Sunday 8:00 pm,4.0[202],8.33[203],"""Teenage Mutant Milk-Caused Hurdles"""
28,2016–17,22,"September 25, 2016","May 21, 2017",Sunday 8:00 pm,4.80[204],8.19[205],"""Pork and Burns"""
29,2017–18,21,"October 1, 2017","May 20, 2018",Sunday 8:00 pm,4.07[206],8.04[207],"""Frink Gets Testy"""
30,2018–19,23,"September 30, 2018","May 12, 2019",Sunday 8:00 pm,3.10[208],8.20[209],"""The Girl on the Bus"""
31,2019–20,22,"September 29, 2019","May 17, 2020",Sunday 8:00 pm,2.58[210],5.63[211],"""Go Big or Go Homer"""
32,2020–21,22,"September 27, 2020","May 23, 2021","Sunday 8:00 pm (Episodes 1–10, 12–22) Sunday 9:00 pm (Episode 11)",2.32[212],4.93[213],"""Treehouse of Horror XXXI"""
33,2021–22,22,"September 26, 2021","May 22, 2022","Sunday 8:00 pm (Episodes 1–10, 12–22) Sunday 9:00 pm (Episode 11)",2.25[214],3.97[215],"""Portrait of a Lackey on Fire"""
34,2022–23,22,"September 25, 2022","May 21, 2023","Sunday 8:00 pm (Episodes 1–8, 10–22) Sunday 8:30 pm (Episode 9)",1.83[216],4.77[217],"""From Beer to Paternity"""
35,2023–24,18,"October 1, 2023","May 19, 2024","Sunday 8:00 pm (Episodes 1–5, 7, 10–18) Sunday 8:30 pm (Episodes 6, 8, 9)",1.99[218],5.41[219],"""Do the Wrong Thing"""
